Store,YearMonth,Sales
1,2013-01,4940.0
1,2013-02,5220.0
1,2013-03,5807.0
1,2013-04,4720.0
1,2013-05,5140.0
1,2013-06,4536.0
1,2013-07,4742.0
1,2013-08,4382.0
1,2013-09,4355.0
1,2013-10,4409.0
1,2013-11,4908.0
1,2013-12,6049.0
1,2014-01,4570.0
1,2014-02,4601.0
1,2014-03,4480.0
1,2014-04,4804.0
1,2014-05,4709.0
1,2014-06,4692.0
1,2014-07,4541.0
1,2014-08,4269.0
1,2014-09,4092.0
1,2014-10,4419.0
1,2014-11,5234.0
1,2014-12,6441.0
1,2015-01,4600.0
1,2015-02,4443.0
1,2015-03,4574.0
1,2015-04,4611.0
1,2015-05,4575.0
1,2015-06,4400.0
1,2015-07,4491.0
2,2013-01,4430.0
2,2013-02,4630.0
2,2013-03,5221.0
2,2013-04,4675.0
2,2013-05,4849.0
2,2013-06,4635.0
2,2013-07,5140.0
2,2013-08,4636.0
2,2013-09,4763.0
2,2013-10,4629.0
2,2013-11,4947.0
2,2013-12,6259.0
2,2014-01,4702.0
2,2014-02,4769.0
2,2014-03,4809.0
2,2014-04,5119.0
2,2014-05,4745.0
2,2014-06,5115.0
2,2014-07,4897.0
2,2014-08,4652.0
2,2014-09,4955.0
2,2014-10,4669.0
2,2014-11,5306.0
2,2014-12,6177.0
2,2015-01,4904.0
2,2015-02,4753.0
2,2015-03,5176.0
2,2015-04,5042.0
2,2015-05,5023.0
2,2015-06,5108.0
2,2015-07,4954.0
3,2013-01,6371.0
3,2013-02,6674.0
3,2013-03,7567.0
3,2013-04,6888.0
3,2013-05,7408.0
3,2013-06,6818.0
3,2013-07,7645.0
3,2013-08,6604.0
3,2013-09,6532.0
3,2013-10,6472.0
3,2013-11,6783.0
3,2013-12,8932.0
3,2014-01,6693.0
3,2014-02,6552.0
3,2014-03,6710.0
3,2014-04,6785.0
3,2014-05,6540.0
3,2014-06,7448.0
3,2014-07,6709.0
3,2014-08,6256.0
3,2014-09,6678.0
3,2014-10,6245.0
3,2014-11,7427.0
3,2014-12,8462.0
3,2015-01,6454.0
3,2015-02,6397.0
3,2015-03,6801.0
3,2015-04,7133.0
3,2015-05,7141.0
3,2015-06,7597.0
3,2015-07,6798.0
4,2013-01,9027.0
4,2013-02,9603.0
4,2013-03,10221.0
4,2013-04,9079.0
4,2013-05,9804.0
4,2013-06,9409.0
4,2013-07,8448.0
4,2013-08,8825.0
4,2013-09,8782.0
4,2013-10,8650.0
4,2013-11,9190.0
4,2013-12,11864.0
4,2014-01,9031.0
4,2014-02,9373.0
4,2014-03,9150.0
4,2014-04,9647.0
4,2014-05,9589.0
4,2014-06,9810.0
4,2014-07,9675.0
4,2014-08,9941.0
4,2014-09,9406.0
4,2014-10,9457.0
4,2014-11,10456.0
4,2014-12,11843.0
4,2015-01,9492.0
4,2015-02,9536.0
4,2015-03,9599.0
4,2015-04,10337.0
4,2015-05,10128.0
4,2015-06,9563.0
4,2015-07,10257.0
5,2013-01,4209.0
5,2013-02,4214.0
5,2013-03,4674.0
5,2013-04,4246.0
5,2013-05,4596.0
5,2013-06,4387.0
5,2013-07,5626.0
5,2013-08,4666.0
5,2013-09,4414.0
5,2013-10,4632.0
5,2013-11,4783.0
5,2013-12,6146.0
5,2014-01,4321.0
5,2014-02,4479.0
5,2014-03,4215.0
5,2014-04,4766.0
5,2014-05,4507.0
5,2014-06,4702.0
5,2014-07,4537.0
5,2014-08,4251.0
5,2014-09,4566.0
5,2014-10,4528.0
5,2014-11,5138.0
5,2014-12,5954.0
5,2015-01,4579.0
5,2015-02,4378.0
5,2015-03,4680.0
5,2015-04,4746.0
5,2015-05,4704.0
5,2015-06,4771.0
5,2015-07,4600.0
6,2013-01,5856.0
6,2013-02,5819.0
6,2013-03,6502.0
6,2013-04,6171.0
6,2013-05,6582.0
6,2013-06,6215.0
6,2013-07,6449.0
6,2013-08,5920.0
6,2013-09,6055.0
6,2013-10,6225.0
6,2013-11,6817.0
6,2013-12,7216.0
6,2014-01,4760.0
6,2014-02,4924.0
6,2014-03,5072.0
6,2014-04,5572.0
6,2014-05,5148.0
6,2014-06,5208.0
6,2014-07,4999.0
6,2014-08,4564.0
6,2014-09,4919.0
6,2014-10,4944.0
6,2014-11,5645.0
6,2014-12,6077.0
6,2015-01,4801.0
6,2015-02,4530.0
6,2015-03,4755.0
6,2015-04,5026.0
6,2015-05,4928.0
6,2015-06,4827.0
6,2015-07,4468.0
7,2013-01,7232.0
7,2013-02,7451.0
7,2013-03,8523.0
7,2013-04,7895.0
7,2013-05,8788.0
7,2013-06,8471.0
7,2013-07,10233.0
7,2013-08,9569.0
7,2013-09,8055.0
7,2013-10,7696.0
7,2013-11,8391.0
7,2013-12,10497.0
7,2014-01,7718.0
7,2014-02,8056.0
7,2014-03,7859.0
7,2014-04,9225.0
7,2014-05,8665.0
7,2014-06,9206.0
7,2014-07,9901.0
7,2014-08,10306.0
7,2014-09,8894.0
7,2014-10,8106.0
7,2014-11,9168.0
7,2014-12,10619.0
7,2015-01,8181.0
7,2015-02,8293.0
7,2015-03,8291.0
7,2015-04,9327.0
7,2015-05,9234.0
7,2015-06,9131.0
7,2015-07,10295.0
8,2013-01,4704.0
8,2013-02,4993.0
8,2013-03,5416.0
8,2013-04,5089.0
8,2013-05,5287.0
8,2013-06,4892.0
8,2013-07,4883.0
8,2013-08,4912.0
8,2013-09,4758.0
8,2013-10,4830.0
8,2013-11,5085.0
8,2013-12,6130.0
